group,english,turkish,notes
"Text, tokens, and morphology",agglutinative,eklemeli,Turkish stacks suffixes on a stem; why tokenizers fragment it
"Text, tokens, and morphology",byte-pair encoding (BPE),byte-pair encoding ◆,never translated; *BPE* in running text
"Text, tokens, and morphology",corpus,derlem,plural *derlemler*
"Text, tokens, and morphology",hapax legomena,hapax legomena ◆,"Latin, kept as-is; words occurring exactly once"
"Text, tokens, and morphology",lemmatization,kök bulma,see *stemming* — the pair is easy to swap
"Text, tokens, and morphology",n-gram / bigram,n-gram ◆ / ikili n-gram,*n-gram* takes Turkish suffixes: *n-gram'lar*
"Text, tokens, and morphology",normalization,normalleştirme,the preprocessing ladder; cf. *L2 normalization*
"Text, tokens, and morphology",stemming,gövdeleme,"not *kök bulma*, which this book reserves for lemmatization"
"Text, tokens, and morphology",stop word,etkisiz kelime,English lists do not transfer to Turkish
"Text, tokens, and morphology",subword,alt kelime,*alt kelime bölütlemesi* = subword tokenization
"Text, tokens, and morphology",token,jeton / birim ◆,usually left as *token*
"Text, tokens, and morphology",tokenization,bölütleme ◆,*tokenizasyon* common in practice
"Text, tokens, and morphology",vocabulary,sözlük,also *dictionary*; disambiguate when both are in play
"Text, tokens, and morphology",Zipf's law,Zipf yasası,
Representing text as vectors,analogy (task),analoji (görevi),"*king − man + woman*; the arithmetic, not reasoning"
Representing text as vectors,anisotropy,anizotropi,"vectors fill a cone, not the sphere; mean cosine ≠ 0"
Representing text as vectors,bag-of-words,kelime torbası,fully naturalized; no ◆
Representing text as vectors,character n-gram,karakter n-gram'ı,fastText's unit; cf. *subword*
Representing text as vectors,co-occurrence matrix,eş-oluşum matrisi,*eş-oluşum* preferred over *birlikte geçme*
Representing text as vectors,cosine similarity,kosinüs benzerliği,
Representing text as vectors,distributional hypothesis,dağılımsal hipotez,"Harris 1954, Firth 1957"
Representing text as vectors,doc2vec / word2vec / GloVe / fastText,doc2vec / word2vec / GloVe / fastText ◆,"model names, never translated"
Representing text as vectors,document frequency (df),belge frekansı,
Representing text as vectors,document-term matrix,belge-terim matrisi,"rows = documents, columns = terms"
Representing text as vectors,dot product,iç çarpım,not *nokta çarpım*; the linear predictor in word2vec
Representing text as vectors,embedding,gömme / gömlem,*word embedding* → kelime gömmesi
Representing text as vectors,inverse document frequency (IDF),ters belge frekansı ◆,*IDF* dominant in running text
Representing text as vectors,L2 normalization,L2 normalleştirme,puts documents on the unit sphere
Representing text as vectors,latent semantic analysis (LSA),gizli anlambilimsel çözümleme ◆,*LSA* dominant; PPMI/SVD on counts
Representing text as vectors,nearest neighbour,en yakın komşu,*komşu listesi* = neighbour list
Representing text as vectors,negative sampling,negatif örnekleme,turns the softmax into a logistic regression
Representing text as vectors,one-hot encoding,one-hot kodlama ◆,no settled Turkish gloss; *one-hot* takes suffixes
Representing text as vectors,out-of-vocabulary (OOV),sözlük dışı ◆,*OOV oranı* = OOV rate
Representing text as vectors,pointwise mutual information (PMI),noktasal karşılıklı bilgi ◆,*PPMI* = pozitif PMI
Representing text as vectors,relatedness vs. similarity,ilişkililik / benzerlik,WordSim-353 vs. SimLex-999; do not conflate
Representing text as vectors,singular value decomposition (SVD),tekil değer ayrışımı ◆,*truncated SVD* → kesik SVD
Representing text as vectors,skip-gram / CBOW,skip-gram / CBOW ◆,take Turkish suffixes: *skip-gram'ın*
Representing text as vectors,sparse matrix / sparsity,seyrek matris / seyreklik,
Representing text as vectors,static vs. contextual embedding,statik / bağlamsal gömme,the axis chapter 3 ends on
